complaint_text,category,is_sensitive,emergency_keywords_present,money_loss_present,duration_months,priority_label,priority_score
இரவில் வீட்டை உடைத்து தங்க நகைகள் திருடப்பட்டுள்ளன.,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
சாலையில் சிலர் என்னைத் தாக்கி எனது பணத்தைப் பறித்தனர்.,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
घर के बाहर से मेरी बाइक चोरी हो गई है।,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
कुछ गुंडों ने हथियार दिखाकर मुझे लूटा।,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
Filing for divorce and seeking child custody support.,FAMILY_DISPUTE,false,0,0,2,LOW,30
Parents forcing me to get married against my will.,FAMILY_DISPUTE,false,0,0,2,LOW,30
Brothers refusing to divide ancestral inheritance fairly.,FAMILY_DISPUTE,false,0,0,2,LOW,30
"Divorce venum, aana baby custody thara matengranga.",FAMILY_DISPUTE,false,0,0,2,LOW,30
Enga appa force panni marriage panna soldranga.,FAMILY_DISPUTE,false,0,0,2,LOW,30
விருப்பம் இல்லாமல் குடும்பத்தினர் திருமணம் செய்ய வற்புறுத்துகிறார்கள்.,FAMILY_DISPUTE,false,0,0,2,LOW,30
பூர்வீக சொத்தை பிரிப்பதில் சகோதரர்களுக்குள் தகராறு.,FAMILY_DISPUTE,false,0,0,2,LOW,30
पैतृक संपत्ति के बंटवारे को लेकर भाइयों में विवाद है।,FAMILY_DISPUTE,false,0,0,2,LOW,30
तलाक और बच्चे की कस्टडी के लिए मामला दर्ज करना है।,FAMILY_DISPUTE,false,0,0,2,LOW,30
Denied benefits of housing scheme despite having all eligibility.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Panchayat office demanding bribe for widow pension approval.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Ration card distribution office delayed my card for a year.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Housing scheme-la ellam documents irundhum select aagala.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Widow pension kuduka bribe panam kekuranga.,GOVERNMENT_SCHEME,false,0,1,2,MEDIUM,55
விபத்து நிவாரணத் தொகை பெற தகுதி இருந்தும் கிடைக்கவில்லை.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
ரேஷன் கார்டு வழங்க அதிகாரிகள் லஞ்சம் கேட்கிறார்கள்.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
पात्र होने के बावजूद आवास योजना की सूची में नाम नहीं है।,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
विधवा पेंशन के लिए सरकारी कर्मचारी रिश्वत मांग रहे हैं।,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
I need free legal advice regarding a contract discrepancy.,GENERAL_LEGAL_AID,false,0,0,2,LOW,30
How to apply for free legal representation in district court.,GENERAL_LEGAL_AID,false,0,0,2,LOW,30
Need guidance on court procedures for a witness summon.,GENERAL_LEGAL_AID,false,0,0,2,LOW,30
"Enaku free lawyer venum, court case pathi legal aid thairya.",GENERAL_LEGAL_AID,false,0,0,2,LOW,30
"Court sumons vandhuruku, step by step guidance enna.",GENERAL_LEGAL_AID,false,0,0,2,LOW,30
இலவச சட்ட உதவி பெற எங்கு விண்ணப்பிக்க வேண்டும்?,GENERAL_LEGAL_AID,false,0,0,2,LOW,30
"நீதிமன்ற சம்மன் வந்துள்ளது, என்ன செய்ய வேண்டும் என அறிய வேண்டும்.",GENERAL_LEGAL_AID,false,0,0,2,LOW,30
"कोर्ट समन मिला है, कानूनी सहायता की आवश्यकता है।",GENERAL_LEGAL_AID,false,0,0,2,LOW,30
सरकारी वकील की सहायता पाने के लिए क्या नियम हैं।,GENERAL_LEGAL_AID,false,0,0,2,LOW,30
Regarding my issue: My company did not pay my salary for 3 months.,LABOUR_DISPUTE,false,0,1,2,MEDIUM,55
Regarding my issue: Employer terminated me without notice or severance pay.,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Regarding my issue: Working extra hours but no overtime pay given.,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Regarding my issue: Ennoda office-la 3 maasamaa sambalam tharala.,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Regarding my issue: Company karanga ennoda salary tharama emathuranga.,LABOUR_DISPUTE,false,0,1,2,MEDIUM,55
Regarding my issue: 3 மாதங்களாக என் நிறுவனம் எனக்கு சம்பளம் வழங்கவில்லை.,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Regarding my issue: முன்னறிவிப்பு இல்லாமல் வேலைநீக்கம் செய்யப்பட்டேன்.,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Regarding my issue: कंपनी ने पिछले तीन महीने का वेतन नहीं दिया है।,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Regarding my issue: बिना किसी नोटिस के नौकरी से निकाल दिया गया।,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Regarding my issue: Bought a mobile phone online but received a soap bar.,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Regarding my issue: Store refusing to honor the 1-year product warranty.,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Regarding my issue: Charged extra double amount than the MRP printed.,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
"Regarding my issue: Online-la phone order panna, aana dummy box vandhuchu.",CONSUMER_COMPLAINT,false,0,0,2,LOW,30
"Regarding my issue: Shopkeeper warranty card kudukala, replace panna maatranga.",CONSUMER_COMPLAINT,false,0,0,2,LOW,30
"Regarding my issue: ஆன்லைனில் வாங்கிய தயாரிப்பு சேதமடைந்துள்ளது, திரும்பப் பெற மறுக்கிறார்கள்.",CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Regarding my issue: அதிகப்படியான விலை வசூலிக்கும் கடைக்காரர்.,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Regarding my issue: अमेज़न से नकली प्रोडक्ट मिला है और पैसे वापस नहीं कर रहे।,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Regarding my issue: दुकानदार वारंटी में सामान बदलने से मना कर रहा है।,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Regarding my issue: Lost 50000 rupees due to a fake UPI QR code scam.,CYBER_CRIME,false,0,1,2,MEDIUM,55
Regarding my issue: Bank account hacked and savings transferred online.,CYBER_CRIME,false,0,0,2,MEDIUM,55
Regarding my issue: Received phishing links asking for my net banking OTP.,CYBER_CRIME,false,0,0,2,MEDIUM,55
Regarding my issue: Ennoda bank account hacking aagi panam pochu.,CYBER_CRIME,false,0,1,2,MEDIUM,55
Regarding my issue: UPI scanner scam-la 10000 rubaa tholachuten.,CYBER_CRIME,false,0,1,2,MEDIUM,55
Regarding my issue: போலி ஓடிபி மூலம் எனது கணக்கிலிருந்து பணம் திருடப்பட்டது.,CYBER_CRIME,false,0,0,2,MEDIUM,55
Regarding my issue: வங்கி கணக்கு ஹேக் செய்யப்பட்டு பரிவர்த்தனை நடந்துள்ளது.,CYBER_CRIME,false,0,0,2,MEDIUM,55
Regarding my issue: फेसबुक अकाउंट हैक करके पैसे मांगे जा रहे हैं।,CYBER_CRIME,false,0,0,2,MEDIUM,55
Regarding my issue: बैंक मैनेजर बनकर ओटीपी पूछा और पैसे निकाल लिए।,CYBER_CRIME,false,0,0,2,MEDIUM,55
Regarding my issue: Neighbor encroached my boundary wall and built a gate.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: Landlord refusing to return my security deposit.,PROPERTY_DISPUTE,false,0,1,2,MEDIUM,55
Regarding my issue: Forged property patta documents used to sell my land.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: Pakkathu veetukaaran enga idathula encroaching panran.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: Landlord advance panatha thiruppi tharama emathuran.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: அண்டை வீட்டார் எனது நில எல்லையை ஆக்கிரமித்து கட்டியுள்ளனர்.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: போலி பத்திரம் தயாரித்து எனது வீட்டை விற்க முயல்கிறார்கள்.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: पड़ोसी ने मेरी जमीन पर अवैध कब्जा कर लिया है।,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: मकान मालिक सिक्योरिटी डिपॉजिट वापस नहीं कर रहा है।,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: Colleague continuously stalking and sending inappropriate texts.,WOMEN_SAFETY,false,0,0,2,HIGH,78
Regarding my issue: Facing verbal harassment at public bus stop daily.,WOMEN_SAFETY,true,0,0,2,HIGH,78
Regarding my issue: Some guys following me home from college metro station.,WOMEN_SAFETY,false,0,0,2,HIGH,78
"Regarding my issue: Office-la oru officer thappa pesuran, stalk panran.",WOMEN_SAFETY,false,0,0,2,HIGH,78
Regarding my issue: College poitu varra valiyila silaper follow panranga.,WOMEN_SAFETY,false,0,0,2,HIGH,78
Regarding my issue: பேருந்து நிலையத்தில் ஒரு நபர் என்னைத் தொடர்ந்து பின்தொடர்கிறார்.,WOMEN_SAFETY,false,0,0,2,HIGH,78
Regarding my issue: பணியிடத்தில் எனக்கு தொடர்ந்து பாலியல் தொல்லைகள் வருகின்றன.,WOMEN_SAFETY,false,0,0,2,HIGH,78
Regarding my issue: रास्ते में कुछ लड़के रोज पीछा करते हैं और फब्तियां कसते हैं।,WOMEN_SAFETY,false,0,0,2,HIGH,78
Regarding my issue: ऑफिस में सहकर्मी द्वारा परेशान किया जा रहा है।,WOMEN_SAFETY,false,0,0,2,HIGH,78
Regarding my issue: Husband beats me under the influence of alcohol.,DOMESTIC_VIOLENCE,false,0,0,2,HIGH,78
Regarding my issue: In-laws abusing and threatening for dowry money.,DOMESTIC_VIOLENCE,true,0,1,2,HIGH,78
Regarding my issue: Locked inside the house and starved by my husband.,DOMESTIC_VIOLENCE,false,0,0,2,HIGH,78
Regarding my issue: Enga veetla purushan thittamal adikiraru.,DOMESTIC_VIOLENCE,false,0,0,2,HIGH,78
"Regarding my issue: Dowry ketu maamiyaar thollai tharanga, room-la lock panranga.",DOMESTIC_VIOLENCE,false,0,0,2,HIGH,78
Regarding my issue: மது குடித்துவிட்டு கணவர் தினமும் என்னை அடிக்கிறார்.,DOMESTIC_VIOLENCE,false,0,0,2,HIGH,78
Regarding my issue: வரதட்சணை கேட்டு மாமியார் கொடுமைப்படுத்துகிறார்கள்.,DOMESTIC_VIOLENCE,false,0,0,2,HIGH,78
Regarding my issue: पति शराब पीकर रोज मारता-पीटता है।,DOMESTIC_VIOLENCE,false,0,0,2,HIGH,78
Regarding my issue: ससुराल वाले दहेज के लिए प्रताड़ित कर रहे हैं।,DOMESTIC_VIOLENCE,false,0,0,2,HIGH,78
Regarding my issue: Gang attacked me with weapons near the market area.,CRIMINAL_COMPLAINT,false,1,0,2,CRITICAL,92
Regarding my issue: My motorcycle was stolen from outside my house entry.,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
Regarding my issue: Robbers broke into my home and stole gold jewelry.,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
Regarding my issue: Market kitta gang kathi vechu adichanga.,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
Regarding my issue: Enga veetu bike-a thiruditu poitinga.,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
Regarding my issue: இரவில் வீட்டை உடைத்து தங்க நகைகள் திருடப்பட்டுள்ளன.,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
Regarding my issue: சாலையில் சிலர் என்னைத் தாக்கி எனது பணத்தைப் பறித்தனர்.,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
Regarding my issue: घर के बाहर से मेरी बाइक चोरी हो गई है।,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
Regarding my issue: कुछ गुंडों ने हथियार दिखाकर मुझे लूटा।,CRIMINAL_COMPLAINT,false,0,0,2,HIGH,78
Regarding my issue: Filing for divorce and seeking child custody support.,FAMILY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: Parents forcing me to get married against my will.,FAMILY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: Brothers refusing to divide ancestral inheritance fairly.,FAMILY_DISPUTE,false,0,0,2,LOW,30
"Regarding my issue: Divorce venum, aana baby custody thara matengranga.",FAMILY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: Enga appa force panni marriage panna soldranga.,FAMILY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: விருப்பம் இல்லாமல் குடும்பத்தினர் திருமணம் செய்ய வற்புறுத்துகிறார்கள்.,FAMILY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: பூர்வீக சொத்தை பிரிப்பதில் சகோதரர்களுக்குள் தகராறு.,FAMILY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: पैतृक संपत्ति के बंटवारे को लेकर भाइयों में विवाद है।,FAMILY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: तलाक और बच्चे की कस्टडी के लिए मामला दर्ज करना है।,FAMILY_DISPUTE,false,0,0,2,LOW,30
Regarding my issue: Denied benefits of housing scheme despite having all eligibility.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Regarding my issue: Panchayat office demanding bribe for widow pension approval.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Regarding my issue: Ration card distribution office delayed my card for a year.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Regarding my issue: Housing scheme-la ellam documents irundhum select aagala.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Regarding my issue: Widow pension kuduka bribe panam kekuranga.,GOVERNMENT_SCHEME,false,0,1,2,MEDIUM,55
Regarding my issue: விபத்து நிவாரணத் தொகை பெற தகுதி இருந்தும் கிடைக்கவில்லை.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Regarding my issue: ரேஷன் கார்டு வழங்க அதிகாரிகள் லஞ்சம் கேட்கிறார்கள்.,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Regarding my issue: पात्र होने के बावजूद आवास योजना की सूची में नाम नहीं है।,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Regarding my issue: विधवा पेंशन के लिए सरकारी कर्मचारी रिश्वत मांग रहे हैं।,GOVERNMENT_SCHEME,false,0,0,2,LOW,30
Regarding my issue: I need free legal advice regarding a contract discrepancy.,GENERAL_LEGAL_AID,false,0,0,2,LOW,30
Regarding my issue: How to apply for free legal representation in district court.,GENERAL_LEGAL_AID,false,0,0,2,LOW,30
Regarding my issue: Need guidance on court procedures for a witness summon.,GENERAL_LEGAL_AID,false,0,0,2,LOW,30
"Regarding my issue: Enaku free lawyer venum, court case pathi legal aid thairya.",GENERAL_LEGAL_AID,false,0,0,2,LOW,30
"Regarding my issue: Court sumons vandhuruku, step by step guidance enna.",GENERAL_LEGAL_AID,false,0,0,2,LOW,30
Regarding my issue: இலவச சட்ட உதவி பெற எங்கு விண்ணப்பிக்க வேண்டும்?,GENERAL_LEGAL_AID,false,0,0,2,LOW,30
"Regarding my issue: நீதிமன்ற சம்மன் வந்துள்ளது, என்ன செய்ய வேண்டும் என அறிய வேண்டும்.",GENERAL_LEGAL_AID,false,0,0,2,LOW,30
"Regarding my issue: कोर्ट समन मिला है, कानूनी सहायता की आवश्यकता है।",GENERAL_LEGAL_AID,false,0,0,2,LOW,30
Regarding my issue: सरकारी वकील की सहायता पाने के लिए क्या नियम हैं।,GENERAL_LEGAL_AID,false,0,0,2,LOW,30
Urgent legal help needed. My company did not pay my salary for 3 months.,LABOUR_DISPUTE,false,0,1,2,MEDIUM,55
Urgent legal help needed. Employer terminated me without notice or severance pay.,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Urgent legal help needed. Working extra hours but no overtime pay given.,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Urgent legal help needed. Ennoda office-la 3 maasamaa sambalam tharala.,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Urgent legal help needed. Company karanga ennoda salary tharama emathuranga.,LABOUR_DISPUTE,false,0,1,2,MEDIUM,55
Urgent legal help needed. 3 மாதங்களாக என் நிறுவனம் எனக்கு சம்பளம் வழங்கவில்லை.,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Urgent legal help needed. முன்னறிவிப்பு இல்லாமல் வேலைநீக்கம் செய்யப்பட்டேன்.,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Urgent legal help needed. कंपनी ने पिछले तीन महीने का वेतन नहीं दिया है।,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Urgent legal help needed. बिना किसी नोटिस के नौकरी से निकाल दिया गया।,LABOUR_DISPUTE,false,0,0,2,MEDIUM,55
Urgent legal help needed. Bought a mobile phone online but received a soap bar.,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Urgent legal help needed. Store refusing to honor the 1-year product warranty.,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Urgent legal help needed. Charged extra double amount than the MRP printed.,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
"Urgent legal help needed. Online-la phone order panna, aana dummy box vandhuchu.",CONSUMER_COMPLAINT,false,0,0,2,LOW,30
"Urgent legal help needed. Shopkeeper warranty card kudukala, replace panna maatranga.",CONSUMER_COMPLAINT,false,0,0,2,LOW,30
"Urgent legal help needed. ஆன்லைனில் வாங்கிய தயாரிப்பு சேதமடைந்துள்ளது, திரும்பப் பெற மறுக்கிறார்கள்.",CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Urgent legal help needed. அதிகப்படியான விலை வசூலிக்கும் கடைக்காரர்.,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Urgent legal help needed. अमेज़न से नकली प्रोडक्ट मिला है और पैसे वापस नहीं कर रहे।,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Urgent legal help needed. दुकानदार वारंटी में सामान बदलने से मना कर रहा है।,CONSUMER_COMPLAINT,false,0,0,2,LOW,30
Urgent legal help needed. Lost 50000 rupees due to a fake UPI QR code scam.,CYBER_CRIME,false,0,1,2,MEDIUM,55
Urgent legal help needed. Bank account hacked and savings transferred online.,CYBER_CRIME,false,0,0,2,MEDIUM,55
Urgent legal help needed. Received phishing links asking for my net banking OTP.,CYBER_CRIME,false,0,0,2,MEDIUM,55
Urgent legal help needed. Ennoda bank account hacking aagi panam pochu.,CYBER_CRIME,false,0,1,2,MEDIUM,55
Urgent legal help needed. UPI scanner scam-la 10000 rubaa tholachuten.,CYBER_CRIME,false,0,1,2,MEDIUM,55
Urgent legal help needed. போலி ஓடிபி மூலம் எனது கணக்கிலிருந்து பணம் திருடப்பட்டது.,CYBER_CRIME,false,0,0,2,MEDIUM,55
Urgent legal help needed. வங்கி கணக்கு ஹேக் செய்யப்பட்டு பரிவர்த்தனை நடந்துள்ளது.,CYBER_CRIME,false,0,0,2,MEDIUM,55
Urgent legal help needed. फेसबुक अकाउंट हैक करके पैसे मांगे जा रहे हैं।,CYBER_CRIME,false,0,0,2,MEDIUM,55
Urgent legal help needed. बैंक मैनेजर बनकर ओटीपी पूछा और पैसे निकाल लिए।,CYBER_CRIME,false,0,0,2,MEDIUM,55
Urgent legal help needed. Neighbor encroached my boundary wall and built a gate.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Urgent legal help needed. Landlord refusing to return my security deposit.,PROPERTY_DISPUTE,false,0,1,2,MEDIUM,55
Urgent legal help needed. Forged property patta documents used to sell my land.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Urgent legal help needed. Pakkathu veetukaaran enga idathula encroaching panran.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Urgent legal help needed. Landlord advance panatha thiruppi tharama emathuran.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Urgent legal help needed. அண்டை வீட்டார் எனது நில எல்லையை ஆக்கிரமித்து கட்டியுள்ளனர்.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Urgent legal help needed. போலி பத்திரம் தயாரித்து எனது வீட்டை விற்க முயல்கிறார்கள்.,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Urgent legal help needed. पड़ोसी ने मेरी जमीन पर अवैध कब्जा कर लिया है।,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Urgent legal help needed. मकान मालिक सिक्योरिटी डिपॉजिट वापस नहीं कर रहा है।,PROPERTY_DISPUTE,false,0,0,2,LOW,30
Urgent legal help needed. Colleague continuously stalking and sending inappropriate texts.,WOMEN_SAFETY,false,0,0,2,HIGH,78
Urgent legal help needed. Facing verbal harassment at public bus stop daily.,WOMEN_SAFETY,true,0,0,2,HIGH,78
Urgent legal help needed. Some guys following me home from college metro station.,WOMEN_SAFETY,false,0,0,2,HIGH,78
"Urgent legal help needed. Office-la oru officer thappa pesuran, stalk panran.",WOMEN_SAFETY,false,0,0,2,HIGH,78
